"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"0.IL7R",0,2.17504420361698,0.832,0.303,0,"0","IL7R"
"0.CCR7",0,2.0024601167057,0.387,0.118,0,"0","CCR7"
"0.CD3E",0,0.529557614043941,0.704,0.435,0,"0","CD3E"
"0.ANXA1",0,1.70536080231861,0.714,0.446,0,"0","ANXA1"
"0.CD3D",0,0.580391091394824,0.65,0.387,0,"0","CD3D"
"0.LTB",0,0.720628373903498,0.557,0.318,0,"0","LTB"
"0.CD40LG",0,2.82418842045454,0.26,0.044,0,"0","CD40LG"
"0.CXCR4",0,1.0076086363602,0.849,0.649,0,"0","CXCR4"
"0.GPR183",0,1.20465508327754,0.463,0.266,0,"0","GPR183"
"0.LEPROTL1",0,1.14635282337634,0.568,0.383,0,"0","LEPROTL1"
"0.TRAT1",0,1.55017547887424,0.281,0.103,0,"0","TRAT1"
"0.SLC2A3",0,1.12484872360775,0.588,0.415,0,"0","SLC2A3"
"0.KLRB1",0,1.19302279061823,0.319,0.15,0,"0","KLRB1"
"0.RGCC",0,0.964895280910947,0.653,0.492,0,"0","RGCC"
"0.YPEL5",0,1.09309208635724,0.661,0.503,0,"0","YPEL5"
"0.CAMK4",0,1.32954273771363,0.251,0.111,0,"0","CAMK4"
"0.RORA",0,1.02995897971556,0.312,0.175,0,"0","RORA"
"0.LDHB",0,1.06649114184574,0.614,0.479,0,"0","LDHB"
"0.SPOCK2",0,0.635739027184839,0.35,0.219,0,"0","SPOCK2"
"0.CD6",0,1.1231234523881,0.265,0.14,0,"0","CD6"
"0.ICOS",0,0.903159611406614,0.292,0.169,0,"0","ICOS"
"0.ITK",0,1.02359306027972,0.262,0.142,0,"0","ITK"
"0.TNFAIP3",0,0.747425794464369,0.716,0.596,0,"0","TNFAIP3"
"0.TRAC",0,0.603233198077423,0.402,0.283,0,"0","TRAC"
"0.FLT3LG",0,1.25091867551112,0.25,0.131,0,"0","FLT3LG"
"0.CD3G",0,0.57259983422608,0.354,0.236,0,"0","CD3G"
"0.FYN",0,0.798367279198392,0.343,0.226,0,"0","FYN"
"0.TUBA4A",0,0.648780996338168,0.419,0.303,0,"0","TUBA4A"
"0.TRBC2",0,0.500464931468901,0.444,0.33,0,"0","TRBC2"
"0.PTGER4",0,1.11531795840197,0.345,0.234,0,"0","PTGER4"
"0.CREM",0,0.848850541293892,0.603,0.495,0,"0","CREM"
"0.TRBC1",0,0.53281328512563,0.343,0.237,0,"0","TRBC1"
"0.BIRC3",0,0.616053965538828,0.496,0.39,0,"0","BIRC3"
"0.TSC22D3",0,0.784752080848428,0.84,0.737,0,"0","TSC22D3"
"0.PPP2R5C",0,0.801167041125775,0.387,0.286,0,"0","PPP2R5C"
"0.RHOH",0,0.536010629368026,0.48,0.383,0,"0","RHOH"
"0.ARHGAP15",0,0.96729307308285,0.353,0.257,0,"0","ARHGAP15"
"0.ZFP36L2",0,0.760850751579752,0.862,0.768,0,"0","ZFP36L2"
"0.FAM177A1",0,0.995719566460616,0.45,0.358,0,"0","FAM177A1"
"0.AIM1",0,1.29324453229099,0.258,0.168,0,"0","AIM1"
"0.TOB1",0,1.20588315865213,0.27,0.181,0,"0","TOB1"
"0.MYADM",0,0.870362645724802,0.379,0.293,0,"0","MYADM"
"0.PIK3IP1",0,0.858207761991036,0.283,0.197,0,"0","PIK3IP1"
"0.EIF3E",0,0.816074947366944,0.594,0.51,0,"0","EIF3E"
"0.PDCD4",0,0.8349189026432,0.344,0.261,0,"0","PDCD4"
"0.OCIAD2",0,0.76809457505083,0.331,0.249,0,"0","OCIAD2"
"0.GIMAP7",0,0.986426463551947,0.288,0.207,0,"0","GIMAP7"
"0.SELL",0,0.872276298259005,0.262,0.182,0,"0","SELL"
"0.RPL38",0,0.83537638777876,0.807,0.728,0,"0","RPL38"
"0.CD55",0,0.877437085952785,0.349,0.271,0,"0","CD55"
"0.PLK3",0,1.02608150130774,0.295,0.218,0,"0","PLK3"
"0.LMNA",0,1.17452022727939,0.413,0.337,0,"0","LMNA"
"0.AC090498.1",0,0.765877402932522,0.624,0.55,0,"0","AC090498.1"
"0.EZR",0,0.855048268084215,0.562,0.49,0,"0","EZR"
"0.FXYD5",0,0.704084604867369,0.732,0.66,0,"0","FXYD5"
"0.HSPA8",0,0.588836795740767,0.886,0.817,0,"0","HSPA8"
"0.SARAF",0,0.883651679845783,0.839,0.77,0,"0","SARAF"
"0.C12orf57",0,0.665314532609967,0.531,0.463,0,"0","C12orf57"
"0.KLF2",0,0.971595811443772,0.266,0.198,0,"0","KLF2"
"0.NPM1",0,0.63569670633428,0.815,0.747,0,"0","NPM1"
"0.LINC-PINT",0,0.651086086602568,0.407,0.339,0,"0","LINC-PINT"
"0.RPL36A",0,0.81919870552675,0.502,0.435,0,"0","RPL36A"
"0.BTG1",0,0.576300410086262,0.938,0.875,0,"0","BTG1"
"0.ZFAS1",0,0.552564425556704,0.589,0.526,0,"0","ZFAS1"
"0.CNOT6L",0,0.77087886748727,0.273,0.211,0,"0","CNOT6L"
"0.STK4",0,0.517636923883492,0.559,0.498,0,"0","STK4"
"0.RPL26",0,0.761028702531776,0.875,0.816,0,"0","RPL26"
"0.RPS10",0,0.753536094544001,0.444,0.385,0,"0","RPS10"
"0.ELF1",0,0.604714183814055,0.555,0.497,0,"0","ELF1"
"0.NBEAL1",0,0.860479425605879,0.371,0.313,0,"0","NBEAL1"
"0.CCNH",0,0.78181619238651,0.374,0.316,0,"0","CCNH"
"0.AMD1",0,0.795268808898588,0.387,0.33,0,"0","AMD1"
"0.TOMM7",0,0.655106780723591,0.725,0.669,0,"0","TOMM7"
"0.ARL4A",0,0.795519098662072,0.273,0.218,0,"0","ARL4A"
"0.EEF1B2",0,0.738751433759896,0.867,0.815,0,"0","EEF1B2"
"0.TUBA1A",0,0.533390867287522,0.421,0.371,0,"0","TUBA1A"
"0.RPL10A",0,0.733081138780268,0.924,0.875,0,"0","RPL10A"
"0.CRIP1",0,0.664357496703549,0.311,0.262,0,"0","CRIP1"
"0.TSPYL2",0,0.532732874653432,0.262,0.214,0,"0","TSPYL2"
"0.RPS29",0,0.958826365438992,0.856,0.808,0,"0","RPS29"
"0.RPS20",0,0.920720358138487,0.625,0.578,0,"0","RPS20"
"0.RPL5",0,0.868732458420483,0.955,0.908,0,"0","RPL5"
"0.TUBB4B",0,0.700458890537947,0.443,0.397,0,"0","TUBB4B"
"0.RPL31",0,0.873164460251867,0.785,0.741,0,"0","RPL31"
"0.CD48",0,0.536822179796095,0.435,0.391,0,"0","CD48"
"0.RPL22",0,0.673124429215214,0.898,0.855,0,"0","RPL22"
"0.RPSA",0,0.623653888432502,0.914,0.871,0,"0","RPSA"
"0.CSRNP1",0,0.667238004149024,0.354,0.311,0,"0","CSRNP1"
"0.RPL4",0,0.694363351205177,0.837,0.794,0,"0","RPL4"
"0.SKP1",0,0.544459225889697,0.614,0.572,0,"0","SKP1"
"0.BCAS2",0,0.711020290413553,0.318,0.276,0,"0","BCAS2"
"0.CDC42SE2",0,0.615880652738274,0.328,0.287,0,"0","CDC42SE2"
"0.RPL7",0,0.823820788858386,0.794,0.753,0,"0","RPL7"
"0.PABPC1",0,0.669068731261715,0.79,0.749,0,"0","PABPC1"
"0.NOSIP",0,1.03124791972922,0.253,0.212,0,"0","NOSIP"
"0.GTF2B",0,0.701660658882334,0.314,0.273,0,"0","GTF2B"
"0.PPP1R2",0,0.551295260452526,0.464,0.424,0,"0","PPP1R2"
"0.RPL17",0,0.681297382341559,0.44,0.4,0,"0","RPL17"
"0.MARCKSL1",0,0.573375001369602,0.255,0.216,0,"0","MARCKSL1"
"0.RPL27A",0,0.648447781630463,0.815,0.777,0,"0","RPL27A"
"0.PIK3R1",0,0.613097269312608,0.295,0.258,0,"0","PIK3R1"
"0.RPL9",0,0.830446479025142,0.968,0.931,0,"0","RPL9"
"0.RPL24",0,0.645673757157194,0.958,0.922,0,"0","RPL24"
"0.RPL23A",0,0.737408682277922,0.951,0.915,0,"0","RPL23A"
"0.RPL14",0,0.780916897099152,0.973,0.938,0,"0","RPL14"
"0.RPL27",0,0.613026919960328,0.875,0.84,0,"0","RPL27"
"0.ZC3HAV1",0,0.590880697560391,0.337,0.303,0,"0","ZC3HAV1"
"0.RPL36AL",0,0.571789623174227,0.843,0.809,0,"0","RPL36AL"
"0.IDS",0,0.677523202766653,0.401,0.368,0,"0","IDS"
"0.CCDC109B",0,0.798897290103603,0.251,0.218,0,"0","CCDC109B"
"0.RPL37",0,0.687451409965406,0.957,0.924,0,"0","RPL37"
"0.RPL35A",0,0.817282460300802,0.977,0.945,0,"0","RPL35A"
"0.RPS21",0,0.687453350068969,0.91,0.878,0,"0","RPS21"
"0.SNHG8",0,0.61369086505435,0.382,0.351,0,"0","SNHG8"
"0.RPL36",0,0.744874090420519,0.935,0.904,0,"0","RPL36"
"0.TXNIP",0,0.537821380352117,0.515,0.545,0,"0","TXNIP"
"0.RPS25",0,0.83927758944575,0.978,0.948,0,"0","RPS25"
"0.NEU1",0,0.712500541477872,0.314,0.286,0,"0","NEU1"
"0.RPS13",0,0.791514554914026,0.983,0.955,0,"0","RPS13"
"0.SF1",0,0.594704541531896,0.461,0.433,0,"0","SF1"
"0.ATP1A1",0,0.746076433056203,0.265,0.238,0,"0","ATP1A1"
"0.RPL3",0,0.874361850018281,0.977,0.95,0,"0","RPL3"
"0.RPL6",0,0.595738954414723,0.963,0.936,0,"0","RPL6"
"0.JUNB",0,0.680141974963862,0.834,0.807,0,"0","JUNB"
"0.RPS7",0,0.606837477429172,0.98,0.954,0,"0","RPS7"
"0.CDKN1B",0,0.546850997840465,0.29,0.264,0,"0","CDKN1B"
"0.ARID5A",0,0.665714909271452,0.268,0.243,0,"0","ARID5A"
"0.AES",0,0.615387537704079,0.294,0.269,0,"0","AES"
"0.RPLP0",0,0.509370211254582,0.952,0.927,0,"0","RPLP0"
"0.RPL21",0,0.861764221054276,0.951,0.926,0,"0","RPL21"
"0.RPS23",0,0.698472970255002,0.989,0.965,0,"0","RPS23"
"0.RPL12",0,0.601760461410035,0.98,0.956,0,"0","RPL12"
"0.NACA",0,0.527234284800026,0.927,0.903,0,"0","NACA"
"0.CHD2",0,0.62577691225308,0.306,0.282,0,"0","CHD2"
"0.RPS16",0,0.514889888202021,0.929,0.905,0,"0","RPS16"
"0.PPP1CB",0,0.738551650168022,0.275,0.252,0,"0","PPP1CB"
"0.RPL39",0,0.878460638048449,0.989,0.966,0,"0","RPL39"
"0.RPS15A",0,0.802078512854714,0.986,0.963,0,"0","RPS15A"
"0.SERTAD1",0,0.598213811760965,0.356,0.333,0,"0","SERTAD1"
"0.RPL34",0,0.970451149542776,0.99,0.968,0,"0","RPL34"
"0.RPL30",0,0.899207476856734,0.991,0.969,0,"0","RPL30"
"0.RPS6",0,0.79334864739798,0.975,0.953,0,"0","RPS6"
"0.RPL18",0,0.530095193493051,0.9,0.922,0,"0","RPL18"
"0.RPL35",0,0.546683915856992,0.925,0.904,0,"0","RPL35"
"0.RPS3",0,0.861281787683634,0.99,0.969,0,"0","RPS3"
"0.ZFP36",0,0.719019583471638,0.794,0.774,0,"0","ZFP36"
"0.RPL11",0,0.844737048533547,0.989,0.97,0,"0","RPL11"
"0.RPS8",0,0.624909489845137,0.984,0.965,0,"0","RPS8"
"0.RPL32",0,0.912215670392966,0.992,0.973,0,"0","RPL32"
"0.RPS3A",0,0.856057415860639,0.984,0.965,0,"0","RPS3A"
"0.RPS4X",0,0.743430011335097,0.991,0.972,0,"0","RPS4X"
"0.DDX24",0,0.557154530045752,0.435,0.416,0,"0","DDX24"
"0.RSL24D1",0,0.554376948933087,0.369,0.35,0,"0","RSL24D1"
"0.RPL23",0,0.55687186087458,0.653,0.634,0,"0","RPL23"
"0.RPS27",0,0.897354659153318,0.991,0.973,0,"0","RPS27"
"0.RPS27A",0,0.871992891389438,0.992,0.974,0,"0","RPS27A"
"0.RPL29",0,0.53207738311901,0.959,0.941,0,"0","RPL29"
"0.RPS14",0,0.739598645100195,0.991,0.973,0,"0","RPS14"
"0.RPS12",0,0.941821059977597,0.993,0.976,0,"0","RPS12"
"0.GLTSCR2",0,0.60924363989022,0.506,0.489,0,"0","GLTSCR2"
"0.RPS5",0,0.555949639205982,0.923,0.906,0,"0","RPS5"
"0.SELK",0,0.599780929351166,0.589,0.574,0,"0","SELK"
"0.RPL19",0,0.684570906487802,0.99,0.975,0,"0","RPL19"
"0.EML4",0,0.535425426087835,0.358,0.343,0,"0","EML4"
"0.RPS18",0,0.838010936672046,0.99,0.976,0,"0","RPS18"
"0.CYCS",0,0.516972491528449,0.487,0.501,0,"0","CYCS"
"0.RPL41",0,0.731672068899295,0.986,0.972,0,"0","RPL41"
"0.RPS17",0,0.786411078825622,0.532,0.545,0,"0","RPS17"
"0.GLIPR1",0,0.723255060401273,0.337,0.325,0,"0","GLIPR1"
"0.TPT1",0,0.584989740909847,0.982,0.97,0,"0","TPT1"
"0.RPL13",0,0.690027903563139,0.946,0.957,0,"0","RPL13"
"0.RPLP2",0,0.572375836184867,0.921,0.911,0,"0","RPLP2"
"0.RPS19",0,0.532763188833591,0.991,0.981,0,"0","RPS19"
"0.EEF1A1",0,0.782566802470119,0.994,0.986,0,"0","EEF1A1"
"0.RPL10",0,0.74834153702886,0.996,0.988,0,"0","RPL10"
"0.MALAT1",0,0.526098695538282,0.999,0.992,0,"0","MALAT1"
"0.EIF4B",0,0.570629530880077,0.352,0.346,0,"0","EIF4B"
"0.RPL13A",0,0.720614477041399,0.782,0.776,0,"0","RPL13A"
"0.RPL28",0,0.505606261350108,0.974,0.968,0,"0","RPL28"
"0.HNRNPA0",0,0.51010497024067,0.446,0.443,0,"0","HNRNPA0"
"0.RPS26",0,0.673020615347818,0.897,0.899,0,"0","RPS26"
"0.RPS28",0,0.640178523368691,0.941,0.943,0,"0","RPS28"
"0.RPL18A",0,0.535690309484905,0.95,0.952,0,"0","RPL18A"
"0.CDKN1A",0,0.663359162334296,0.367,0.368,0,"0","CDKN1A"
"0.TNFAIP8",3.77475828372553e-15,0.50203293430177,0.278,0.265,9.79021308467054e-11,"0","TNFAIP8"
"0.SBDS",7.88480392088786e-12,0.58808018364525,0.254,0.247,2.04500274492148e-07,"0","SBDS"
"0.SLC38A2",1.81488823969289e-10,0.502259009258519,0.261,0.255,4.70709413846748e-06,"0","SLC38A2"
"0.EIF2S3",7.60020376855408e-07,0.512068970914874,0.253,0.256,0.0197118884941219,"0","EIF2S3"
"0.RILPL2",3.70384586771966e-05,0.554078520126212,0.265,0.274,0.96062946425177,"0","RILPL2"
"1.CCL5",0,2.58814355671055,0.94,0.33,0,"1","CCL5"
"1.NKG7",0,2.15826464787881,0.739,0.157,0,"1","NKG7"
"1.CD8A",0,3.45017534960531,0.614,0.078,0,"1","CD8A"
"1.CCL4",0,2.77561781189418,0.751,0.251,0,"1","CCL4"
"1.CD8B",0,3.30876234473065,0.504,0.063,0,"1","CD8B"
"1.CST7",0,1.92519997749356,0.657,0.234,0,"1","CST7"
"1.GZMA",0,2.12506875668734,0.579,0.167,0,"1","GZMA"
"1.CTSW",0,2.0765962202061,0.538,0.137,0,"1","CTSW"
"1.ZNF683",0,3.29592132442311,0.404,0.051,0,"1","ZNF683"
"1.CD3E",0,1.16893566460597,0.778,0.436,0,"1","CD3E"
"1.GZMH",0,3.05927811164488,0.385,0.05,0,"1","GZMH"
"1.CD3D",0,1.1135913180661,0.71,0.39,0,"1","CD3D"
"1.GZMB",0,1.85125118412414,0.396,0.087,0,"1","GZMB"
"1.CD7",0,1.24391593568837,0.64,0.331,0,"1","CD7"
"1.IFNG",0,3.11028989404922,0.39,0.084,0,"1","IFNG"
"1.IL32",0,0.803514113820354,0.759,0.467,0,"1","IL32"
"1.CD69",0,1.12988147088432,0.765,0.49,0,"1","CD69"
"1.RP11-291B21.2",0,3.42404413096942,0.299,0.035,0,"1","RP11-291B21.2"
"1.CD2",0,0.805328973532388,0.641,0.388,0,"1","CD2"
"1.CCL4L2",0,2.46910430416099,0.385,0.139,0,"1","CCL4L2"
"1.KLRD1",0,1.73176812572509,0.322,0.079,0,"1","KLRD1"
"1.GZMK",0,1.97053034427049,0.359,0.124,0,"1","GZMK"
"1.XCL1",0,2.30677526196517,0.305,0.072,0,"1","XCL1"
"1.HOPX",0,1.63259480019762,0.345,0.116,0,"1","HOPX"
"1.LAG3",0,2.44660058231982,0.312,0.083,0,"1","LAG3"
"1.CD96",0,1.31370080848072,0.429,0.203,0,"1","CD96"
"1.DUSP4",0,0.927571003854446,0.515,0.295,0,"1","DUSP4"
"1.CD3G",0,1.25615089938379,0.441,0.223,0,"1","CD3G"
"1.CLEC2B",0,1.51684943240766,0.58,0.363,0,"1","CLEC2B"
"1.TUBA4A",0,1.34815742058419,0.503,0.291,0,"1","TUBA4A"
"1.APOBEC3G",0,1.72220677799152,0.427,0.215,0,"1","APOBEC3G"
"1.HCST",0,1.13295400207667,0.687,0.48,0,"1","HCST"
"1.LCK",0,1.03906700610118,0.476,0.269,0,"1","LCK"
"1.PRF1",0,1.62157492186965,0.291,0.086,0,"1","PRF1"
"1.GZMM",0,1.53892572012862,0.337,0.134,0,"1","GZMM"
"1.XCL2",0,2.39795833278835,0.263,0.062,0,"1","XCL2"
"1.PTPN22",0,1.60287955401532,0.376,0.182,0,"1","PTPN22"
"1.CD52",0,0.743507075012315,0.785,0.597,0,"1","CD52"
"1.ALOX5AP",0,1.15162038486954,0.552,0.367,0,"1","ALOX5AP"
"1.CBLB",0,1.49208843266203,0.358,0.174,0,"1","CBLB"
"1.TRBC2",0,0.817096781613126,0.506,0.323,0,"1","TRBC2"
"1.IFITM1",0,0.886969562048407,0.694,0.511,0,"1","IFITM1"
"1.EVL",0,1.03777646218449,0.584,0.411,0,"1","EVL"
"1.ANXA1",0,0.745295254666803,0.65,0.479,0,"1","ANXA1"
"1.C12orf75",0,1.36634656140762,0.316,0.147,0,"1","C12orf75"
"1.DUSP2",0,0.92752551333124,0.718,0.565,0,"1","DUSP2"
"1.RGCC",0,0.941950125847651,0.655,0.503,0,"1","RGCC"
"1.RARRES3",0,0.983587279793059,0.563,0.414,0,"1","RARRES3"
"1.ITM2A",0,0.865084543027995,0.384,0.238,0,"1","ITM2A"
"1.STK17A",0,0.827317843849885,0.49,0.345,0,"1","STK17A"
"1.ID2",0,0.902021039872219,0.478,0.338,0,"1","ID2"
"1.TRBC1",0,0.719060000380649,0.373,0.237,0,"1","TRBC1"
"1.FYN",0,0.823370335961721,0.363,0.229,0,"1","FYN"
"1.TIGIT",0,0.81443575077719,0.297,0.164,0,"1","TIGIT"
"1.OASL",0,1.32980296715611,0.265,0.133,0,"1","OASL"
"1.GNG2",0,1.01245854135803,0.381,0.249,0,"1","GNG2"
"1.CD99",0,0.857678360596138,0.634,0.504,0,"1","CD99"
"1.ACAP1",0,0.793472001876626,0.45,0.32,0,"1","ACAP1"
"1.TBC1D10C",0,1.03128783344534,0.337,0.21,0,"1","TBC1D10C"
"1.SH2D2A",0,0.905036923637927,0.294,0.169,0,"1","SH2D2A"
"1.PARP8",0,1.29892980435424,0.27,0.148,0,"1","PARP8"
"1.ITM2C",0,0.939385736715648,0.283,0.161,0,"1","ITM2C"
"1.PTPRC",0,0.659357887379103,0.781,0.664,0,"1","PTPRC"
"1.LAT",0,0.705641962261055,0.339,0.223,0,"1","LAT"
"1.RUNX3",0,1.16390331045909,0.287,0.172,0,"1","RUNX3"
"1.SKAP1",0,0.81999429728883,0.314,0.199,0,"1","SKAP1"
"1.CD247",0,0.659521726411297,0.313,0.2,0,"1","CD247"
"1.CLEC2D",0,0.677012166646665,0.352,0.239,0,"1","CLEC2D"
"1.RAC2",0,0.679595403401637,0.646,0.534,0,"1","RAC2"
"1.SEPT1",0,0.906354770839194,0.32,0.209,0,"1","SEPT1"
"1.SLA",0,1.07463403668125,0.414,0.304,0,"1","SLA"
"1.PPP2R5C",0,0.849508526793486,0.397,0.29,0,"1","PPP2R5C"
"1.PRKCH",0,1.05794742654837,0.268,0.161,0,"1","PRKCH"
"1.CXCR4",0,0.515466073265141,0.785,0.678,0,"1","CXCR4"
"1.TNFAIP3",0,0.572421049610111,0.712,0.605,0,"1","TNFAIP3"
"1.SYTL3",0,0.949733833530756,0.296,0.189,0,"1","SYTL3"
"1.PSTPIP1",0,1.22444222955047,0.266,0.161,0,"1","PSTPIP1"
"1.RNF19A",0,0.833776732542361,0.365,0.26,0,"1","RNF19A"
"1.IL2RG",0,0.681105228405455,0.57,0.465,0,"1","IL2RG"
"1.SLC9A3R1",0,0.927240441831975,0.369,0.265,0,"1","SLC9A3R1"
"1.OXNAD1",0,0.892158390905278,0.262,0.16,0,"1","OXNAD1"
"1.RHOH",0,0.636099466299061,0.489,0.387,0,"1","RHOH"
"1.GABARAPL1",0,1.18621496571266,0.287,0.188,0,"1","GABARAPL1"
"1.IFITM2",0,0.569361060086118,0.685,0.588,0,"1","IFITM2"
"1.PHLDA1",0,0.939617247513608,0.367,0.27,0,"1","PHLDA1"
"1.ADGRE5",0,0.932369492284105,0.387,0.291,0,"1","ADGRE5"
"1.CORO1A",0,0.652616822200446,0.645,0.549,0,"1","CORO1A"
"1.C9orf142",0,0.965466857773534,0.388,0.295,0,"1","C9orf142"
"1.LINC00152",0,0.953896669337147,0.322,0.229,0,"1","LINC00152"
"1.LDLRAD4",0,1.35329227924496,0.255,0.162,0,"1","LDLRAD4"
"1.CRIP1",0,0.81521948107355,0.349,0.256,0,"1","CRIP1"
"1.CD27",0,0.751965989648607,0.33,0.24,0,"1","CD27"
"1.LBH",0,0.555815342898243,0.341,0.253,0,"1","LBH"
"1.CYTIP",0,0.563697182696881,0.601,0.514,0,"1","CYTIP"
"1.MYADM",0,0.857685441690819,0.384,0.298,0,"1","MYADM"
"1.MYL12A",0,0.615941513687274,0.789,0.704,0,"1","MYL12A"
"1.SRSF7",0,0.709897404452493,0.696,0.611,0,"1","SRSF7"
"1.CKLF",0,0.937810550513168,0.315,0.231,0,"1","CKLF"
"1.LSP1",0,0.716688067656988,0.554,0.471,0,"1","LSP1"
"1.STK17B",0,0.60921231147725,0.508,0.428,0,"1","STK17B"
"1.LEPROTL1",0,0.575119792074555,0.494,0.414,0,"1","LEPROTL1"
"1.COTL1",0,0.51511898453109,0.616,0.536,0,"1","COTL1"
"1.ARHGAP9",0,0.920110490946301,0.293,0.214,0,"1","ARHGAP9"
"1.SEPT7",0,0.699018370456872,0.487,0.409,0,"1","SEPT7"
"1.PLP2",0,0.700839036841545,0.46,0.382,0,"1","PLP2"
"1.RALGAPA1",0,0.879350109079742,0.276,0.199,0,"1","RALGAPA1"
"1.SOCS1",0,0.641740980655765,0.402,0.326,0,"1","SOCS1"
"1.RHOF",0,0.798070343572792,0.258,0.184,0,"1","RHOF"
"1.SH3BGRL3",0,0.70509040296971,0.868,0.794,0,"1","SH3BGRL3"
"1.G3BP2",0,0.864604943248695,0.346,0.272,0,"1","G3BP2"
"1.ZFP36L2",0,0.678225410589238,0.85,0.777,0,"1","ZFP36L2"
"1.TAGAP",0,0.901813911893996,0.402,0.332,0,"1","TAGAP"
"1.HSPA1B",0,0.857326456121115,0.5,0.432,0,"1","HSPA1B"
"1.HERPUD2",0,1.02507442065885,0.259,0.191,0,"1","HERPUD2"
"1.PPDPF",0,0.623679458488047,0.726,0.658,0,"1","PPDPF"
"1.EMB",0,0.786035823449743,0.318,0.251,0,"1","EMB"
"1.CNN2",0,0.70128381088777,0.423,0.356,0,"1","CNN2"
"1.MAPRE2",0,0.955821690225543,0.252,0.186,0,"1","MAPRE2"
"1.TUBA1A",0,0.634942343617951,0.436,0.371,0,"1","TUBA1A"
"1.HSPA8",0,0.653954574740168,0.886,0.822,0,"1","HSPA8"
"1.DNAJB1",0,0.820509909967019,0.683,0.619,0,"1","DNAJB1"
"1.PTPN7",0,0.85143398926416,0.261,0.197,0,"1","PTPN7"
"1.PIK3R1",0,0.890158486133366,0.319,0.255,0,"1","PIK3R1"
"1.LINC-PINT",0,0.592143005825341,0.407,0.343,0,"1","LINC-PINT"
"1.OCIAD2",0,0.520502769088766,0.32,0.257,0,"1","OCIAD2"
"1.ZFP36",0,0.585885241870373,0.828,0.768,0,"1","ZFP36"
"1.KIAA1551",0,0.711033095991155,0.331,0.272,0,"1","KIAA1551"
"1.DNAJA1",0,0.648469679114228,0.667,0.61,0,"1","DNAJA1"
"1.HSPA1A",0,0.728830568389657,0.576,0.519,0,"1","HSPA1A"
"1.NR4A2",0,0.53107976496619,0.609,0.553,0,"1","NR4A2"
"1.BUB3",0,0.717665594890555,0.314,0.259,0,"1","BUB3"
"1.UBB",0,0.536827265252144,0.839,0.784,0,"1","UBB"
"1.ANXA6",0,0.705780702367347,0.289,0.237,0,"1","ANXA6"
"1.MYL12B",0,0.531659322955345,0.644,0.595,0,"1","MYL12B"
"1.TSPYL2",0,0.649151045591651,0.265,0.217,0,"1","TSPYL2"
"1.ARHGEF1",0,0.716069697126248,0.275,0.228,0,"1","ARHGEF1"
"1.PDCD4",0,0.590200678331846,0.319,0.272,0,"1","PDCD4"
"1.SRSF2",0,0.668977834281559,0.594,0.55,0,"1","SRSF2"
"1.CNOT6L",0,0.528093627927297,0.261,0.219,0,"1","CNOT6L"
"1.TERF2IP",0,0.703215785727506,0.345,0.304,0,"1","TERF2IP"
"1.NEU1",0,0.862961510973555,0.325,0.285,0,"1","NEU1"
"1.PTGER4",0,0.595505497715829,0.294,0.254,0,"1","PTGER4"
"1.TMEM2",0,0.502922719688666,0.276,0.238,0,"1","TMEM2"
"1.CD82",0,0.712974704899362,0.269,0.231,0,"1","CD82"
"1.CCND3",0,0.500161715057959,0.303,0.265,0,"1","CCND3"
"1.PSMB9",0,0.517456426322539,0.553,0.516,0,"1","PSMB9"
"1.LCP1",0,0.524623451254717,0.448,0.411,0,"1","LCP1"
"1.CHORDC1",0,0.626129853854487,0.266,0.232,0,"1","CHORDC1"
"1.LCP2",0,0.657407417929871,0.315,0.281,0,"1","LCP2"
"1.CITED2",0,0.713012920429072,0.357,0.323,0,"1","CITED2"
"1.DOK2",0,0.590806617393339,0.306,0.278,0,"1","DOK2"
"1.DHRS7",0,0.683600142559241,0.298,0.27,0,"1","DHRS7"
"1.SHISA5",0,0.689214189991628,0.304,0.279,0,"1","SHISA5"
"1.PGK1",0,0.532565529038679,0.489,0.464,0,"1","PGK1"
"1.H3F3B",0,0.528876443055523,0.963,0.939,0,"1","H3F3B"
"1.WIPF1",0,0.558252132811022,0.365,0.341,0,"1","WIPF1"
"1.ZYX",0,0.587355519834488,0.344,0.32,0,"1","ZYX"
"1.HLA-B",0,0.575530885105954,0.969,0.95,0,"1","HLA-B"
"1.DRAP1",0,0.537852191140051,0.434,0.417,0,"1","DRAP1"
"1.CDK2AP2",0,0.641497085249464,0.311,0.299,0,"1","CDK2AP2"
"1.MSN",0,0.501907570144177,0.352,0.345,0,"1","MSN"
"1.RAP1B",0,0.507869141477658,0.352,0.346,0,"1","RAP1B"
"1.FGFR1OP2",2.22044604925031e-16,0.608590117177422,0.288,0.276,5.75894887333561e-12,"1","FGFR1OP2"
"1.PPP1R18",1.33226762955019e-15,0.595390733475714,0.295,0.285,3.45536932400137e-11,"1","PPP1R18"
"1.PRNP",3.77475828372553e-15,0.753753401360554,0.284,0.273,9.79021308467054e-11,"1","PRNP"
"1.CSRNP1",5.55111512312578e-15,0.538043610584097,0.329,0.32,1.4397372183339e-10,"1","CSRNP1"
"1.AMD1",3.50830475781549e-14,0.522831218736385,0.348,0.344,9.09913921987027e-10,"1","AMD1"
"1.MRPS6",9.59232693276135e-14,0.585213930357973,0.296,0.288,2.48786591328098e-09,"1","MRPS6"
