"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"14.CKAP4",0,1.90281069836706,0.26,0.035,0,"14","CKAP4"
"14.LYL1",0,2.00217997649264,0.26,0.035,0,"14","LYL1"
"14.ITSN1",0,2.45892139924922,0.26,0.035,0,"14","ITSN1"
"14.IARS2",0,0.717816459086862,0.295,0.07,0,"14","IARS2"
"14.TWISTNB",0,0.611297384154092,0.326,0.102,0,"14","TWISTNB"
"14.ITPK1",0,1.13535467816611,0.278,0.054,0,"14","ITPK1"
"14.RCC1",0,1.3833022421079,0.26,0.036,0,"14","RCC1"
"14.MAPKAPK2",0,0.602912821034753,0.316,0.092,0,"14","MAPKAPK2"
"14.HS3ST1",0,2.51466966518207,0.253,0.029,0,"14","HS3ST1"
"14.SNX24",0,2.40626235360446,0.257,0.033,0,"14","SNX24"
"14.YKT6",0,0.923972830986558,0.292,0.068,0,"14","YKT6"
"14.NAA10",0,0.813958879587329,0.306,0.082,0,"14","NAA10"
"14.TTC9C",0,0.842585368529445,0.285,0.061,0,"14","TTC9C"
"14.CHP1",0,1.2406479741725,0.292,0.068,0,"14","CHP1"
"14.MYO5A",0,0.948837502956058,0.299,0.075,0,"14","MYO5A"
"14.FAM207A",0,0.781697297856163,0.302,0.078,0,"14","FAM207A"
"14.ZNF22",0,0.60985359779983,0.33,0.107,0,"14","ZNF22"
"14.DNASE2",0,0.665541959722331,0.33,0.107,0,"14","DNASE2"
"14.MRPS14",0,0.502868510650109,0.319,0.096,0,"14","MRPS14"
"14.PANK2",0,0.688242593224695,0.312,0.089,0,"14","PANK2"
"14.SMIM3",0,0.852511620758437,0.292,0.069,0,"14","SMIM3"
"14.GDI1",0,0.506504893400212,0.351,0.128,0,"14","GDI1"
"14.FNIP2",0,1.4326269970184,0.278,0.056,0,"14","FNIP2"
"14.FSCN1",0,1.21947320273688,0.278,0.056,0,"14","FSCN1"
"14.LACC1",0,2.14976463997874,0.257,0.035,0,"14","LACC1"
"14.UCHL5",0,0.676206792780332,0.302,0.08,0,"14","UCHL5"
"14.GLRX2",0,1.02726358396349,0.285,0.063,0,"14","GLRX2"
"14.ALAS1",0,1.06125971849189,0.292,0.07,0,"14","ALAS1"
"14.TPRA1",0,0.77025769331289,0.292,0.07,0,"14","TPRA1"
"14.NAPRT",0,0.852098545768546,0.302,0.08,0,"14","NAPRT"
"14.BCL3",0,0.832205610345874,0.306,0.084,0,"14","BCL3"
"14.TMEM214",0,1.30443191832654,0.267,0.046,0,"14","TMEM214"
"14.AGPS",0,1.0608517592044,0.274,0.053,0,"14","AGPS"
"14.RABL6",0,1.32687243777297,0.264,0.043,0,"14","RABL6"
"14.ADM",0,1.84853233891823,0.264,0.043,0,"14","ADM"
"14.VRK1",0,0.985928743950262,0.274,0.053,0,"14","VRK1"
"14.SORT1",0,2.39798322254336,0.25,0.029,0,"14","SORT1"
"14.RRAGC",0,1.38321052499418,0.285,0.064,0,"14","RRAGC"
"14.TIGAR",0,0.902753139337619,0.295,0.074,0,"14","TIGAR"
"14.AP3D1",0,0.665716518189366,0.299,0.078,0,"14","AP3D1"
"14.KIAA2013",0,1.62090837342101,0.264,0.044,0,"14","KIAA2013"
"14.RENBP",0,1.59087751481991,0.274,0.054,0,"14","RENBP"
"14.SLC38A6",0,1.64603188387616,0.267,0.047,0,"14","SLC38A6"
"14.CRYL1",0,1.18210427829715,0.306,0.086,0,"14","CRYL1"
"14.ERI3",0,0.961387227758932,0.288,0.068,0,"14","ERI3"
"14.GPATCH4",0,0.857736883759612,0.285,0.065,0,"14","GPATCH4"
"14.SLC40A1",0,1.15028421282995,0.295,0.075,0,"14","SLC40A1"
"14.RASSF2",0,0.990121984245876,0.292,0.072,0,"14","RASSF2"
"14.GPX3",0,2.47995803213706,0.264,0.045,0,"14","GPX3"
"14.C3",0,1.95806463312778,0.267,0.048,0,"14","C3"
"14.ALDH16A1",0,1.24799466594466,0.274,0.055,0,"14","ALDH16A1"
"14.TSEN15",0,0.680071574474741,0.306,0.087,0,"14","TSEN15"
"14.DYNC1I2",0,0.560395138663313,0.316,0.097,0,"14","DYNC1I2"
"14.ADCK2",0,2.18340907684745,0.253,0.034,0,"14","ADCK2"
"14.POLD3",0,1.62830282120241,0.257,0.038,0,"14","POLD3"
"14.FAM46A",0,1.12113324041083,0.295,0.076,0,"14","FAM46A"
"14.KCNMA1",0,1.67181452334283,0.271,0.053,0,"14","KCNMA1"
"14.APAF1",0,1.09566574136077,0.267,0.049,0,"14","APAF1"
"14.HAUS2",0,0.959771149713993,0.274,0.056,0,"14","HAUS2"
"14.TPM1",0,1.07059125772524,0.278,0.06,0,"14","TPM1"
"14.CREB5",0,2.12713952414546,0.253,0.035,0,"14","CREB5"
"14.TIMM21",0,1.68188323579828,0.257,0.039,0,"14","TIMM21"
"14.NUDT2",0,0.663816708676885,0.292,0.074,0,"14","NUDT2"
"14.RELT",0,0.632353051042801,0.299,0.081,0,"14","RELT"
"14.P2RX4",0,1.00887008705714,0.285,0.067,0,"14","P2RX4"
"14.CDC25B",0,1.02768410719401,0.285,0.067,0,"14","CDC25B"
"14.RHOQ",0,1.08110739178625,0.281,0.064,0,"14","RHOQ"
"14.PGM2",0,1.4312302948616,0.267,0.05,0,"14","PGM2"
"14.RNF144B",0,1.43982531416833,0.278,0.061,0,"14","RNF144B"
"14.SEMA4A",0,0.841144500641283,0.302,0.085,0,"14","SEMA4A"
"14.RQCD1",0,0.926865474857017,0.288,0.071,0,"14","RQCD1"
"14.CMAS",0,0.949491322660376,0.292,0.075,0,"14","CMAS"
"14.CNP",0,0.578725803830764,0.299,0.082,0,"14","CNP"
"14.IER3IP1",0,0.76813054645001,0.295,0.078,0,"14","IER3IP1"
"14.TNFAIP8L2",0,1.48202512292,0.271,0.055,0,"14","TNFAIP8L2"
"14.FH",0,1.28001727004551,0.271,0.055,0,"14","FH"
"14.STT3A",0,1.14957428785602,0.278,0.062,0,"14","STT3A"
"14.VMO1",0,1.43503624496391,0.264,0.048,0,"14","VMO1"
"14.PTEN",0,0.609567787074857,0.302,0.086,0,"14","PTEN"
"14.THUMPD3",0,1.03573884364917,0.264,0.049,0,"14","THUMPD3"
"14.NRROS",0,1.46530640664569,0.271,0.056,0,"14","NRROS"
"14.PIGX",0,1.15280401971207,0.274,0.059,0,"14","PIGX"
"14.NIPSNAP3A",0,1.64079135113078,0.264,0.049,0,"14","NIPSNAP3A"
"14.ROGDI",0,1.28156072373993,0.264,0.049,0,"14","ROGDI"
"14.TMEM251",0,1.561255821401,0.253,0.038,0,"14","TMEM251"
"14.SEH1L",0,1.44375381839517,0.257,0.042,0,"14","SEH1L"
"14.NR2C2AP",0,1.41576490918079,0.257,0.042,0,"14","NR2C2AP"
"14.ZDHHC4",0,0.773323007509973,0.295,0.08,0,"14","ZDHHC4"
"14.MAPKAP1",0,0.780647950919113,0.299,0.084,0,"14","MAPKAP1"
"14.NSMCE4A",0,0.506994847994967,0.299,0.084,0,"14","NSMCE4A"
"14.LTA4H",0,1.00335576644221,0.347,0.132,0,"14","LTA4H"
"14.DNTTIP1",0,0.729003522735892,0.288,0.073,0,"14","DNTTIP1"
"14.SLC1A4",0,1.67296375629618,0.26,0.046,0,"14","SLC1A4"
"14.TCOF1",0,0.864550205108824,0.271,0.057,0,"14","TCOF1"
"14.SMPDL3A",0,1.99728728508332,0.26,0.046,0,"14","SMPDL3A"
"14.RXRA",0,1.23589932135291,0.26,0.046,0,"14","RXRA"
"14.RBFA",0,1.20044771396495,0.267,0.053,0,"14","RBFA"
"14.WRB",0,1.22363365950587,0.267,0.053,0,"14","WRB"
"14.SLC25A40",0,1.23882702091115,0.253,0.039,0,"14","SLC25A40"
"14.LRR1",0,1.5272912900998,0.25,0.036,0,"14","LRR1"
"14.CYB5R1",0,0.627053439285304,0.295,0.081,0,"14","CYB5R1"
"14.SCLT1",0,0.739663536800683,0.292,0.078,0,"14","SCLT1"
"14.MOCS2",0,0.684718972987343,0.285,0.071,0,"14","MOCS2"
"14.PLA2G7",0,1.8751208818459,0.264,0.051,0,"14","PLA2G7"
"14.NUP107",0,0.892104253106814,0.267,0.054,0,"14","NUP107"
"14.MLST8",0,0.688853277197209,0.278,0.065,0,"14","MLST8"
"14.FN3KRP",0,0.891565268197969,0.267,0.054,0,"14","FN3KRP"
"14.IL6R",0,0.745974297388359,0.299,0.086,0,"14","IL6R"
"14.OAS2",0,0.732851432950622,0.309,0.096,0,"14","OAS2"
"14.ARL8A",0,1.52031915181757,0.267,0.055,0,"14","ARL8A"
"14.ATG7",0,1.20590122924379,0.267,0.055,0,"14","ATG7"
"14.SLC12A7",0,1.41884201936509,0.26,0.048,0,"14","SLC12A7"
"14.PSMD10",0,0.740211627782074,0.278,0.066,0,"14","PSMD10"
"14.CDK5RAP2",0,0.648837777792618,0.264,0.052,0,"14","CDK5RAP2"
"14.TOLLIP",0,0.645258035017291,0.306,0.094,0,"14","TOLLIP"
"14.PTOV1",0,0.563486592341083,0.302,0.09,0,"14","PTOV1"
"14.UBAP2L",0,0.620373580752471,0.285,0.073,0,"14","UBAP2L"
"14.PLEKHM2",0,1.32641551636666,0.26,0.049,0,"14","PLEKHM2"
"14.SLC35F6",0,1.33427696940258,0.257,0.046,0,"14","SLC35F6"
"14.HGSNAT",0,0.924451927899903,0.274,0.063,0,"14","HGSNAT"
"14.DYRK4",0,1.02728580236664,0.267,0.056,0,"14","DYRK4"
"14.SLC35A4",0,0.944552286681507,0.278,0.068,0,"14","SLC35A4"
"14.RUFY1",0,1.51343571405244,0.26,0.05,0,"14","RUFY1"
"14.ILVBL",0,1.62771614759818,0.257,0.047,0,"14","ILVBL"
"14.AK6",0,0.723783451131227,0.302,0.092,0,"14","AK6"
"14.VPS26B",0,0.54874106213079,0.288,0.078,0,"14","VPS26B"
"14.ZMPSTE24",0,0.754167128876351,0.271,0.062,0,"14","ZMPSTE24"
"14.GCNT1",0,0.771741156111726,0.264,0.055,0,"14","GCNT1"
"14.EHBP1L1",0,1.32645085593081,0.271,0.062,0,"14","EHBP1L1"
"14.VEZF1",0,0.761160564410299,0.274,0.065,0,"14","VEZF1"
"14.FAM49A",0,0.605844705700979,0.295,0.086,0,"14","FAM49A"
"14.B3GNT5",0,1.51218623494836,0.25,0.041,0,"14","B3GNT5"
"14.RP11-1143G9.4",0,0.748663236702183,0.25,0.041,0,"14","RP11-1143G9.4"
"14.DERL2",0,0.580060610827733,0.358,0.149,0,"14","DERL2"
"14.PRKAG1",0,0.593311196631564,0.292,0.083,0,"14","PRKAG1"
"14.CLPTM1L",0,1.10314489125865,0.264,0.056,0,"14","CLPTM1L"
"14.PAFAH1B2",0,0.750901739550735,0.281,0.073,0,"14","PAFAH1B2"
"14.CRK",0,0.977276980714112,0.278,0.07,0,"14","CRK"
"14.SERPINF1",0,1.2520641156818,0.281,0.073,0,"14","SERPINF1"
"14.CTNNAL1",0,0.934842506360781,0.25,0.042,0,"14","CTNNAL1"
"14.GEMIN6",0,1.48791999873016,0.25,0.043,0,"14","GEMIN6"
"14.HACD2",0,0.889895538645295,0.253,0.046,0,"14","HACD2"
"14.EXOSC9",0,0.69604540046766,0.271,0.064,0,"14","EXOSC9"
"14.PAK1IP1",0,1.32825350405996,0.25,0.043,0,"14","PAK1IP1"
"14.ARMC1",0,0.566138907590764,0.278,0.071,0,"14","ARMC1"
"14.ACLY",0,1.06922670402247,0.264,0.057,0,"14","ACLY"
"14.NKIRAS2",0,1.13486636612364,0.278,0.071,0,"14","NKIRAS2"
"14.CD74",0,1.37456113972489,1,0.793,0,"14","CD74"
"14.ACSL4",0,0.824107707742984,0.292,0.085,0,"14","ACSL4"
"14.ADCY7",0,0.657046401631905,0.285,0.078,0,"14","ADCY7"
"14.DOK1",0,1.30508262861968,0.264,0.058,0,"14","DOK1"
"14.REV1",0,0.566928560524458,0.267,0.061,0,"14","REV1"
"14.DHX30",0,0.595131026001799,0.278,0.072,0,"14","DHX30"
"14.DOK3",0,1.73366299290083,0.26,0.054,0,"14","DOK3"
"14.AXL",0,2.0017818545341,0.25,0.044,0,"14","AXL"
"14.EXOSC5",0,1.04798019976826,0.267,0.061,0,"14","EXOSC5"
"14.CLECL1",0,0.910152256251597,0.26,0.055,0,"14","CLECL1"
"14.MPHOSPH9",0,0.909252158633839,0.25,0.045,0,"14","MPHOSPH9"
"14.NFE2L1",0,1.28717282941303,0.253,0.048,0,"14","NFE2L1"
"14.CCDC137",0,0.781864793152615,0.267,0.062,0,"14","CCDC137"
"14.UTP11L",0,0.612737025996993,0.278,0.074,0,"14","UTP11L"
"14.PPP2CB",0,1.13251490770946,0.25,0.046,0,"14","PPP2CB"
"14.MCMBP",0,0.796281372032438,0.264,0.06,0,"14","MCMBP"
"14.GOT2",0,0.822912617371119,0.26,0.056,0,"14","GOT2"
"14.PEMT",0,0.883612950493243,0.253,0.049,0,"14","PEMT"
"14.IFIT3",0,0.614485417978327,0.292,0.088,0,"14","IFIT3"
"14.RHBDF2",0,0.727995373613006,0.285,0.081,0,"14","RHBDF2"
"14.CDK11B",0,0.618672589708549,0.271,0.068,0,"14","CDK11B"
"14.SMYD2",0,0.513407550514456,0.271,0.068,0,"14","SMYD2"
"14.GMPPB",0,1.14474435973609,0.271,0.068,0,"14","GMPPB"
"14.DNAJC21",0,0.611920150390791,0.271,0.068,0,"14","DNAJC21"
"14.TBC1D9B",0,0.801276859481981,0.271,0.068,0,"14","TBC1D9B"
"14.ASL",0,0.869440414533618,0.26,0.057,0,"14","ASL"
"14.MRPS28",0,1.26759248443654,0.264,0.061,0,"14","MRPS28"
"14.FAM45A",0,0.584099734646965,0.281,0.078,0,"14","FAM45A"
"14.TMEM199",0,1.05622707304231,0.267,0.064,0,"14","TMEM199"
"14.LYRM4",0,0.773522237602034,0.285,0.082,0,"14","LYRM4"
"14.MR1",0,0.998659553578352,0.257,0.055,0,"14","MR1"
"14.DNAJC13",0,1.41365085238701,0.25,0.048,0,"14","DNAJC13"
"14.INIP",0,0.649416228019832,0.267,0.065,0,"14","INIP"
"14.ZDHHC16",0,1.25353002814245,0.25,0.048,0,"14","ZDHHC16"
"14.TXNRD1",0,0.871311634186773,0.278,0.076,0,"14","TXNRD1"
"14.ATP6V0A1",0,1.48107219959413,0.253,0.051,0,"14","ATP6V0A1"
"14.TYK2",0,1.07372070036294,0.257,0.055,0,"14","TYK2"
"14.EIF4G3",0,0.666167900244611,0.264,0.063,0,"14","EIF4G3"
"14.SUCLG2",0,0.593925491686124,0.302,0.101,0,"14","SUCLG2"
"14.MRTO4",0,1.08493770691305,0.257,0.057,0,"14","MRTO4"
"14.RUVBL1",0,0.901936129569654,0.257,0.057,0,"14","RUVBL1"
"14.NR1H3",0,1.77781512361698,0.257,0.057,0,"14","NR1H3"
"14.PPP1R14B",0,0.626477277502891,0.271,0.071,0,"14","PPP1R14B"
"14.MYL6B",0,0.657288647685499,0.278,0.078,0,"14","MYL6B"
"14.WBP4",0,1.06297910860561,0.26,0.06,0,"14","WBP4"
"14.ZNF672",0,0.993831119455355,0.264,0.065,0,"14","ZNF672"
"14.CTD-2336O2.1",0,0.786903017937226,0.274,0.075,0,"14","CTD-2336O2.1"
"14.SFXN3",0,0.746549323517778,0.257,0.058,0,"14","SFXN3"
"14.EIF2B2",0,1.01768848854431,0.25,0.051,0,"14","EIF2B2"
"14.BCL2L1",0,0.70984342428473,0.302,0.103,0,"14","BCL2L1"
"14.DNAJB12",0,0.664787136307504,0.288,0.089,0,"14","DNAJB12"
"14.TMA16",0,0.648415631834733,0.253,0.055,0,"14","TMA16"
"14.WDR41",0,1.07446266894327,0.25,0.052,0,"14","WDR41"
"14.EXOSC4",0,0.729546338574225,0.264,0.066,0,"14","EXOSC4"
"14.TSC22D1",0,1.23824947480219,0.274,0.076,0,"14","TSC22D1"
"14.TMEM69",0,0.942231943395286,0.25,0.053,0,"14","TMEM69"
"14.DDX41",0,0.621515762900212,0.257,0.06,0,"14","DDX41"
"14.NDUFC2",0,1.18590349032339,0.299,0.102,0,"14","NDUFC2"
"14.GTF2A1",0,0.638475649332134,0.25,0.053,0,"14","GTF2A1"
"14.SUGP2",0,1.11313891003247,0.25,0.053,0,"14","SUGP2"
"14.CASP7",0,0.613932552059299,0.253,0.058,0,"14","CASP7"
"14.NUPR1",0,1.24163771750639,0.26,0.065,0,"14","NUPR1"
"14.KEAP1",0,1.03786526127293,0.267,0.072,0,"14","KEAP1"
"14.TMED1",0,0.622305679469634,0.253,0.058,0,"14","TMED1"
"14.IL4I1",0,1.07749159468855,0.26,0.065,0,"14","IL4I1"
"14.AIG1",0,1.07233459998227,0.25,0.056,0,"14","AIG1"
"14.HSDL2",0,1.1283034147198,0.253,0.059,0,"14","HSDL2"
"14.PRPF19",0,0.638488638701404,0.271,0.077,0,"14","PRPF19"
"14.FAM210A",0,0.75626968772324,0.257,0.063,0,"14","FAM210A"
"14.NAA15",0,0.559656178595386,0.26,0.067,0,"14","NAA15"
"14.B4GALT7",0,0.883228415828255,0.267,0.074,0,"14","B4GALT7"
"14.MAP2K2",0,0.899995692705442,0.271,0.078,0,"14","MAP2K2"
"14.TRPV2",0,0.661063199899073,0.278,0.086,0,"14","TRPV2"
"14.LYPLAL1",0,0.61264388979559,0.253,0.061,0,"14","LYPLAL1"
"14.MRPL19",0,0.942217682864049,0.26,0.068,0,"14","MRPL19"
"14.EAF2",0,0.52040714012997,0.267,0.075,0,"14","EAF2"
"14.BRIX1",0,0.866077439791008,0.264,0.072,0,"14","BRIX1"
"14.C9orf72",0,0.573671214704511,0.26,0.068,0,"14","C9orf72"
"14.MICU1",0,1.00619363314729,0.253,0.061,0,"14","MICU1"
"14.PCK2",0,0.737614332447712,0.25,0.058,0,"14","PCK2"
"14.ZMAT5",0,0.714444533821429,0.264,0.072,0,"14","ZMAT5"
"14.ATP5S",0,0.843888027137359,0.253,0.062,0,"14","ATP5S"
"14.EXOC5",0,0.542177673187535,0.257,0.066,0,"14","EXOC5"
"14.BCL7C",0,0.965661736317684,0.253,0.062,0,"14","BCL7C"
"14.ASPSCR1",0,0.880299066830451,0.26,0.069,0,"14","ASPSCR1"
"14.VIM",0,0.94704399008057,0.986,0.796,0,"14","VIM"
"14.DCUN1D1",0,0.775444586875431,0.25,0.061,0,"14","DCUN1D1"
"14.C11orf24",0,0.70105890534717,0.26,0.071,0,"14","C11orf24"
"14.ARHGEF2",0,0.514564710115234,0.267,0.079,0,"14","ARHGEF2"
"14.TET2",0,0.726497741167762,0.264,0.076,0,"14","TET2"
"14.RAPGEF1",0,0.501777437146593,0.278,0.093,0,"14","RAPGEF1"
"14.HIST1H1D",0,0.965728304684751,0.25,0.065,0,"14","HIST1H1D"
"14.YTHDF3",0,0.536029940859904,0.264,0.079,0,"14","YTHDF3"
"14.RFK",0,0.831330721820729,0.253,0.068,0,"14","RFK"
"14.CSNK2B",0,0.534153422836409,0.278,0.094,0,"14","CSNK2B"
"14.FGD2",0,0.789807017979649,0.253,0.069,0,"14","FGD2"
"14.PHYH",0,0.686776270458418,0.253,0.069,0,"14","PHYH"
"14.CFL1",0,0.754868050096918,0.976,0.792,0,"14","CFL1"
"14.RPS6KA1",0,0.514568142102567,0.274,0.091,0,"14","RPS6KA1"
"14.CPEB4",0,0.590071499475102,0.271,0.088,0,"14","CPEB4"
