"subtype","sender","receiver","total_score"
"HER2+","Myeloid","Endothelial",6418.25553939657
"HER2+","Myeloid","Normal Epithelial",3149.95536227854
"HER2+","Myeloid","Plasmablasts",862.562129357539
"HER2+","Myeloid","PVL",3670.18685549432
"HER2+","Myeloid","T-cells",4700.66209148849
"HER2+","Normal Epithelial","B-cells",3871.34185252684
"HER2+","Normal Epithelial","CAFs",1135.95709571212
"HER2+","Normal Epithelial","Cancer Epithelial",623.80757736664
"HER2+","Normal Epithelial","Endothelial",2810.97761307113
"HER2+","Normal Epithelial","Myeloid",5046.98832998165
"HER2+","Normal Epithelial","Plasmablasts",375.249945257797
"HER2+","Normal Epithelial","PVL",905.150132683066
"HER2+","Normal Epithelial","T-cells",1505.72132962404
"HER2+","Plasmablasts","B-cells",901.496194872269
"HER2+","Plasmablasts","CAFs",242.163793049968
"HER2+","Plasmablasts","Cancer Epithelial",164.89270119702
"HER2+","Plasmablasts","Endothelial",529.954450263667
"HER2+","Plasmablasts","Myeloid",1110.99792771161
"HER2+","Plasmablasts","Normal Epithelial",247.310817184912
"HER2+","Plasmablasts","PVL",180.354428572478
"HER2+","Plasmablasts","T-cells",584.756847798104
"HER2+","PVL","B-cells",3247.49982939876
"HER2+","PVL","CAFs",3352.40995185926
"HER2+","PVL","Cancer Epithelial",1254.5462616833
"HER2+","PVL","Endothelial",3869.75762858399
"HER2+","PVL","Myeloid",4236.05560359585
"HER2+","PVL","Normal Epithelial",1528.61823153003
"HER2+","PVL","Plasmablasts",471.124243585123
"HER2+","PVL","T-cells",2522.90126267384
"HER2+","T-cells","B-cells",1838.25663677286
"HER2+","T-cells","CAFs",723.321642915155
"HER2+","T-cells","Cancer Epithelial",883.904873270654
"HER2+","T-cells","Endothelial",1656.02311100341
"HER2+","T-cells","Myeloid",2575.29351467392
"HER2+","T-cells","Normal Epithelial",763.669427884614
"HER2+","T-cells","Plasmablasts",236.93324894699
"HER2+","T-cells","PVL",642.194476261168
"TNBC","B-cells","CAFs",2179.97998236336
"TNBC","B-cells","Cancer Epithelial",1063.46313047485
"TNBC","B-cells","Endothelial",2614.14226977545
"TNBC","B-cells","Myeloid",5227.26538994815
"TNBC","B-cells","Normal Epithelial",1196.77369243201
"TNBC","B-cells","Plasmablasts",755.57004458054
"TNBC","B-cells","PVL",2055.5264401856
"TNBC","B-cells","T-cells",3370.46498283325
"TNBC","CAFs","B-cells",4231.10850097551
"TNBC","CAFs","Cancer Epithelial",2708.73419417948
"TNBC","CAFs","Endothelial",7184.47611765273
"TNBC","CAFs","Myeloid",6365.85496237659
"TNBC","CAFs","Normal Epithelial",2636.50811322604
"TNBC","CAFs","Plasmablasts",1129.04005516872
"TNBC","CAFs","PVL",6935.25136207053
"TNBC","CAFs","T-cells",4895.74610513643
"TNBC","Cancer Epithelial","B-cells",5161.35773006363
"TNBC","Cancer Epithelial","CAFs",1248.97028351809
"TNBC","Cancer Epithelial","Endothelial",3066.10403812933
"TNBC","Cancer Epithelial","Myeloid",6819.19432392318
"TNBC","Cancer Epithelial","Normal Epithelial",825.030789105857
"TNBC","Cancer Epithelial","Plasmablasts",735.443021165854
"TNBC","Cancer Epithelial","PVL",1547.04962531564
"TNBC","Cancer Epithelial","T-cells",2766.98140802085
"TNBC","Endothelial","B-cells",4623.36228508274
"TNBC","Endothelial","CAFs",2582.90125949993
"TNBC","Endothelial","Cancer Epithelial",1214.04071389917
"TNBC","Endothelial","Myeloid",5676.80924813226
"TNBC","Endothelial","Normal Epithelial",1238.72029689181
"TNBC","Endothelial","Plasmablasts",878.302838726903
"TNBC","Endothelial","PVL",2458.43167396313
"TNBC","Endothelial","T-cells",3796.0313102824
"TNBC","Myeloid","B-cells",7200.12402208375
"TNBC","Myeloid","CAFs",4300.9991751802
